day,month,Open Date,Open Date,Open time,Open Date,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1,jan,January ,January 1,1672531200000,1/1/2023 0:00:00,0.3389,0.34,0.3354,0.3387,102026821,1672617599999,34471638.57,48661,53592277,18107900.65,0
2,jan,January ,January 2,1672617600000,1/2/2023 0:00:00,0.3386,0.3555,0.3,0.3482,647520487,1672703999999,217803999.7,285660,320823575,108056946.6,0
3,jan,January ,January 3,1672704000000,1/3/2023 0:00:00,0.3482,0.352,0.3395,0.3436,346410334,1672790399999,119511328.7,154113,172318472,59448460.9,0
4,jan,January ,January 4,1672790400000,1/4/2023 0:00:00,0.3436,0.3605,0.339,0.3472,372672796,1672876799999,129585304.7,147677,193027855,67139279.1,0
5,jan,January ,January 5,1672876800000,1/5/2023 0:00:00,0.3471,0.3487,0.3333,0.338,265529668,1672963199999,90735849.14,106910,129294274,44187813.67,0
6,jan,January ,January 6,1672963200000,1/6/2023 0:00:00,0.338,0.3462,0.3311,0.3443,278304929,1673049599999,93853937.03,124811,141179233,47616379.19,0
7,jan,January ,January 7,1673049600000,1/7/2023 0:00:00,0.3442,0.3457,0.3413,0.3442,103851424,1673135999999,35685499.47,54864,50831317,17471422.57,0
8,jan,January ,January 8,1673136000000,1/8/2023 0:00:00,0.3442,0.3469,0.3354,0.3452,185516324,1673222399999,63235820,87967,92948507,31689407.39,0
9,jan,January ,January 9,1673222400000,1/9/2023 0:00:00,0.3452,0.3576,0.3437,0.349,527746615,1673308799999,185161444.3,207757,254824357,89419804.37,0
10,jan,January ,January 10,1673308800000,1/10/2023 0:00:00,0.3489,0.3541,0.3432,0.3507,338577860,1673395199999,118256165.2,126247,173055172,60442037.71,0
11,jan,January ,January 11,1673395200000,1/11/2023 0:00:00,0.3506,0.3785,0.3477,0.3728,626037461,1673481599999,228637315.4,264481,316060030,115363462.2,0
12,jan,January ,January 12,1673481600000,1/12/2023 0:00:00,0.3728,0.382,0.3607,0.3748,505754231,1673567999999,188241999.7,229155,249878743,93006864.75,0
13,jan,January ,January 13,1673568000000,1/13/2023 0:00:00,0.3748,0.3868,0.368,0.3858,405120914,1673654399999,152479844.1,180943,201571197,75872846.41,0
14,jan,January ,January 14,1673654400000,1/14/2023 0:00:00,0.3857,0.4089,0.3766,0.3953,582781070,1673740799999,230545836.2,298604,287515587,113750224.1,0
15,jan,January ,January 15,1673740800000,1/15/2023 0:00:00,0.3953,0.3969,0.3795,0.3845,294014260,1673827199999,113574492.7,149500,140444062,54247747.68,0
16,jan,January ,January 16,1673827200000,1/16/2023 0:00:00,0.3846,0.4064,0.3777,0.3855,542041099,1673913599999,211557382.2,244213,259538816,101299609.2,0
17,jan,January ,January 17,1673913600000,1/17/2023 0:00:00,0.3855,0.3987,0.379,0.3868,378212343,1673999999999,146669509.5,175149,183711027,71232383.44,0
18,jan,January ,January 18,1674000000000,1/18/2023 0:00:00,0.3868,0.3964,0.3655,0.3782,615064764,1674086399999,236217050.7,297896,294249478,113039587,0
19,jan,January ,January 19,1674086400000,1/19/2023 0:00:00,0.3782,0.3965,0.3762,0.3928,416112670,1674172799999,161047075.8,194843,204941131,79300131.86,0
20,jan,January ,January 20,1674172800000,1/20/2023 0:00:00,0.3929,0.4141,0.3859,0.4129,366316527,1674259199999,145683006.8,191888,188711387,74980784.29,0
21,jan,January ,January 21,1674259200000,1/21/2023 0:00:00,0.4129,0.4166,0.3967,0.4034,346602583,1674345599999,141823531.6,198254,165478405,67719633.3,0
22,jan,January ,January 22,1674345600000,1/22/2023 0:00:00,0.4034,0.4122,0.3962,0.4004,250067543,1674431999999,101062837.5,140303,120634816,48755338.55,0
23,jan,January ,January 23,1674432000000,1/23/2023 0:00:00,0.4004,0.433,0.3995,0.4234,723894773,1674518399999,304618525.3,337146,336521405,141588487.2,0
24,jan,January ,January 24,1674518400000,1/24/2023 0:00:00,0.4233,0.4312,0.4025,0.4078,411297898,1674604799999,172683239.9,223346,192361934,80790644.37,0
25,jan,January ,January 25,1674604800000,1/25/2023 0:00:00,0.4079,0.4245,0.3965,0.417,375065459,1674691199999,153118089,188870,186827318,76244377.78,0
26,jan,January ,January 26,1674691200000,1/26/2023 0:00:00,0.417,0.4178,0.4053,0.4092,290069659,1674777599999,119450988.3,151650,143837698,59220498.82,0
27,jan,January ,January 27,1674777600000,1/27/2023 0:00:00,0.4091,0.4135,0.3988,0.4128,274281738,1674863999999,111625093,133853,136378774,55507502.56,0
28,jan,January ,January 28,1674864000000,1/28/2023 0:00:00,0.4127,0.4168,0.4055,0.4078,148949278,1674950399999,61120997.81,83036,70856591,29083649.28,0
29,jan,January ,January 29,1674950400000,1/29/2023 0:00:00,0.4078,0.4173,0.4066,0.4134,166884667,1675036799999,68802706.76,95305,79235849,32669617.34,0
30,jan,January ,January 30,1675036800000,1/30/2023 0:00:00,0.4135,0.4222,0.386,0.3934,433795926,1675123199999,174875593.1,205691,213480378,86141832.61,0
31,jan,January ,January 31,1675123200000,1/31/2023 0:00:00,0.3933,0.4113,0.388,0.4057,346580963,1675209599999,138238341.8,166935,174978218,69716355.95,0
1,feb,February ,February 1,1675209600000,2/1/2023 0:00:00,0.4058,0.4157,0.3962,0.4131,379103907,1675295999999,153259801.6,186726,184988147,74752103.68,0
2,feb,February ,February 2,1675296000000,2/2/2023 0:00:00,0.4132,0.4192,0.408,0.4098,322532370,1675382399999,133341656.2,165464,163472668,67587785.77,0
3,feb,February ,February 3,1675382400000,2/3/2023 0:00:00,0.4097,0.4137,0.4054,0.4117,274689680,1675468799999,112603154.5,133447,141671977,58080968.91,0
4,feb,February ,February 4,1675468800000,2/4/2023 0:00:00,0.4116,0.4204,0.4075,0.4106,178134111,1675555199999,73370958.02,95986,83662124,34471548.46,0
5,feb,February ,February 5,1675555200000,2/5/2023 0:00:00,0.4106,0.412,0.3942,0.3984,237111362,1675641599999,95563098.09,134236,112747647,45453079.2,0
6,feb,February ,February 6,1675641600000,2/6/2023 0:00:00,0.3985,0.4037,0.3909,0.392,315995053,1675727999999,125897156.3,145740,159859675,63699592.12,0
7,feb,February ,February 7,1675728000000,2/7/2023 0:00:00,0.3921,0.4048,0.3901,0.4036,356160688,1675814399999,141141108.6,145406,183248723,72607710.11,0
8,feb,February ,February 8,1675814400000,2/8/2023 0:00:00,0.4037,0.406,0.3936,0.3975,263188839,1675900799999,105265066.9,104320,123235097,49287325.66,0
9,feb,February ,February 9,1675900800000,2/9/2023 0:00:00,0.3975,0.4092,0.3726,0.3819,526681339,1675987199999,206981490.6,255958,250575924,98553873.54,0
10,feb,February ,February 10,1675987200000,2/10/2023 0:00:00,0.3818,0.3878,0.3771,0.3817,279931749,1676073599999,107300522.3,129469,139730701,53554602.23,0
11,feb,February ,February 11,1676073600000,2/11/2023 0:00:00,0.3818,0.3841,0.3798,0.3833,123179600,1676159999999,47064308.76,59338,54359454,20769517.18,0
12,feb,February ,February 12,1676160000000,2/12/2023 0:00:00,0.3834,0.385,0.3716,0.3747,135976322,1676246399999,51727784.25,70222,62447787,23753707.63,0
13,feb,February ,February 13,1676246400000,2/13/2023 0:00:00,0.3747,0.3783,0.3612,0.3703,382768169,1676332799999,141477064.8,158099,190350024,70362221.97,0
14,feb,February ,February 14,1676332800000,2/14/2023 0:00:00,0.3703,0.3839,0.3644,0.3819,372274074,1676419199999,138499878.3,160722,196180773,72994759.07,0
15,feb,February ,February 15,1676419200000,2/15/2023 0:00:00,0.3819,0.4024,0.3765,0.4011,370966882,1676505599999,143859246.6,150550,183280682,71037186.52,0
16,feb,February ,February 16,1676505600000,2/16/2023 0:00:00,0.401,0.4048,0.384,0.3841,450636395,1676591999999,179200203.7,193412,225043586,89555461.72,0
17,feb,February ,February 17,1676592000000,2/17/2023 0:00:00,0.3841,0.4,0.3809,0.395,358052399,1676678399999,139644124.6,149639,187919337,73283588.77,0
18,feb,February ,February 18,1676678400000,2/18/2023 0:00:00,0.3949,0.3976,0.3911,0.3943,145625421,1676764799999,57400872.44,73236,69380555,27349230.45,0
19,feb,February ,February 19,1676764800000,2/19/2023 0:00:00,0.3942,0.3981,0.3845,0.3863,237992952,1676851199999,93146713.94,120434,116193819,45470936.5,0
20,feb,February ,February 20,1676851200000,2/20/2023 0:00:00,0.3862,0.409,0.3774,0.3984,557018367,1676937599999,220336014.7,224246,278894507,110244972.7,0
21,feb,February ,February 21,1676937600000,2/21/2023 0:00:00,0.3985,0.4025,0.3872,0.3919,448284088,1677023999999,176374645.5,170551,225085280,88578978.1,0
22,feb,February ,February 22,1677024000000,2/22/2023 0:00:00,0.392,0.3977,0.3828,0.3953,389277544,1677110399999,151813602.9,161983,199048660,77597400.09,0
23,feb,February ,February 23,1677110400000,2/23/2023 0:00:00,0.3953,0.3979,0.3853,0.3882,348351954,1677196799999,136524364.8,151055,185760178,72805734.05,0
24,feb,February ,February 24,1677196800000,2/24/2023 0:00:00,0.3883,0.3908,0.3723,0.3783,356652233,1677283199999,136442442.7,157595,183601515,70283824.56,0
25,feb,February ,February 25,1677283200000,2/25/2023 0:00:00,0.3783,0.3795,0.3692,0.3778,179723963,1677369599999,67647646.42,84703,84230523,31703256.83,0
26,feb,February ,February 26,1677369600000,2/26/2023 0:00:00,0.3779,0.3807,0.3745,0.3779,130843027,1677455999999,49371646.18,69576,62587386,23616970.27,0
27,feb,February ,February 27,1677456000000,2/27/2023 0:00:00,0.3779,0.3801,0.3708,0.3785,421412885,1677542399999,158457633.9,145975,225350589,84706976.97,0
28,feb,February ,February 28,1677542400000,2/28/2023 0:00:00,0.3785,0.3827,0.3719,0.3762,371401256,1677628799999,140007696,149317,200818042,75668334.92,0
1,mar,March ,March 1,1677628800000,3/1/2023 0:00:00,0.3762,0.3848,0.3726,0.3835,317577485,1677715199999,120585971.9,134548,161512541,61296409.53,0
2,mar,March ,March 2,1677715200000,3/2/2023 0:00:00,0.3836,0.3846,0.3737,0.3772,281873061,1677801599999,106574977.8,107723,148617496,56165347.6,0
3,mar,March ,March 3,1677801600000,3/3/2023 0:00:00,0.3772,0.3806,0.3539,0.3774,490515388,1677887999999,179848857.5,214243,248898448,91277825.61,0
4,mar,March ,March 4,1677888000000,3/4/2023 0:00:00,0.3773,0.38,0.368,0.3735,164275250,1677974399999,61584809.56,85530,75858816,28438133.48,0
5,mar,March ,March 5,1677974400000,3/5/2023 0:00:00,0.3735,0.3774,0.3653,0.3668,163637644,1678060799999,60724189.19,80980,73390639,27236882.62,0
6,mar,March ,March 6,1678060800000,3/6/2023 0:00:00,0.3668,0.3743,0.3589,0.3695,428373378,1678147199999,156725004,158156,233387734,85297016.33,0
7,mar,March ,March 7,1678147200000,3/7/2023 0:00:00,0.3696,0.3844,0.3669,0.3801,562644274,1678233599999,210785141.4,230481,293439451,109833962,0
